"ProjectID","ProjectDescription","TypeofWork","infra_type","Region","Province","Municipality","LegislativeDistrict","Longitude","Latitude","ABC","ContractCost","FundingYear","CompletionYear"
"P00824759LZ","Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89245,9.99653,17963475,17961569.07,2024,2024
"P00824758LZ","Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89251,9.99761,17370000,17369992.99,2024,2024
"P00824750LZ","Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89323,9.99671,18335000,16802607.63,2024,2024
"P00737551LZ","Construction of Flood Control Structure, Barangay Maoyon, Puerto Princesa City, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89970167,10.00265833,4900000,4899590,2023,2023
"P00823565LZ","Construction of Tanabag River Waterway, (Upstream Rightside), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.99017684,9.99904334,154400000,154395357.9,2024,2024
"P00824756LZ","Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12203,10.02967,17370000,17369997.4,2024,2024
"P00824757LZ","Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12383,10.02881,17370000,16120415.26,2024,2024
"P00824760LZ","Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12416,10.02751,17370000,17370000,2024,2024
"P00726266LZ","Construction of Magsarongsong Bridge Flood Control Structure, Sta. 0 + 000.00 - Sta. 0 + 084.00, Bank I UPSTREAM (L/S), Sta. 0 + 000.00 - Sta. 0 + 084.00, BANK II UPSTREAM (L/S), Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.206224,10.25288,9064943.69,9014282.42,2023,2023
"P00821520LZ","Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","SANTA BARBARA (PANGASINAN)","PANGASINAN (THIRD LEGISLATIVE DISTRICT)",120.400763,16.006788,48250000,48248598.38,2024,2024
"P00820974LZ","Construction of Flood Control Structure along Tulariquin River (RS), Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.21562,10.147,48249976.12,48249914.4,2024,2024
"P00820979LZ","Construction of Slope Protection Structure along Tagumpay Bridge, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.22557,10.27601,44099975.3,44095477.55,2024,2024
"P00632934LZ","Construction of Sea Wall, Barangay Caramay, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.231534,10.183842,4949962.82,4949962.82,2022,2022
"P00844779LZ","Construction/Improvement of Storm Drainage System at Purok Zambales, Brgy. 3, Roxas, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.34648,10.32404,9899934.12,9784647.85,2024,2024
"P00820975LZ","Construction of Slope Protection Structure along Iraan Bridge, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.37435,10.42931,44099956.7,44097536.12,2024,2024
"P00561401LZ","Construction of Seawall, Brgy. Buenasuerte, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.3863889,11.18027778,9899984.53,7778048.48,2021,2023
"P00820977LZ","Construction of Slope Protection Structure along Lamoro Bridge 1, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","EL NIDO (BACUIT) (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.41688,11.19344,44099949.37,44097774.54,2024,2024
"P00726267LZ","Construction of Lamoro Bridge III Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 080.85, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","EL NIDO (BACUIT) (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.430384,11.243519,9064950.34,8929075.23,2023,2023
"P00742461LZ","Construction of Drainage System, Tumarbong, Roxas, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.461795,10.379389,4949974.91,4514354.14,2023,2023
